fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230726 203524	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4413	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200483879455212	0.996825443485839	389	49936	35097	158651128.935532	23
20230726 211238	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4156	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200786119871979	0.997894260701885	838	49979	35352	158561451.274363	24
20230726 215723	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4851	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0202040826262756	0.999239928164961	506	49972	35501	158865995.502249	25
20230726 221623	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1918	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0502650187921459	0.999708580998633	512	50000	32732	157748707.646177	26
20230726 221814	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1501	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.299864466663076	0.0147181286671233	8	49976	30394	146795451.274363	27
20230726 222507	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1881	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0743419841294601	0.219614313203778	1024	49998	35387	153655371.814093	28
20230726 232050	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6614	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.020006861445558	0.998580248348137	693	49958	34752	156469577.211394	29
20230726 235254	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3563	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200624350306774	0.995914135539575	263	49975	36144	158616275.862069	30
20230727 002918	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4050	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200060448214615	0.981297563649007	318	49967	33683	158830880.05997	31
20230727 013756	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8125	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200369987093467	0.886345247884068	334	49969	30280	155886356.821589	32
20230727 023553	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6804	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200211473931985	0.999587766086129	184	48557	32867	156883137.931034	33
20230727 030912	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3708	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200271195396104	0.996715578396066	474	49992	34462	157886803.598201	34
20230727 034155	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3360	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0201447331365032	0.999052812114059	959	41673	36669	159090271.364318	35
20230727 042028	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4217	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200792429102672	0.999518089398398	1014	42056	34889	157472010.494753	36
20230727 045905	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4207	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200061602716256	0.997536089126415	838	43241	36602	158763835.082459	37
20230727 053459	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3869	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200016859342307	0.997020258844229	849	42888	34145	158476064.467766	38
20230727 064045	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7437	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200020864738	0.998711749672285	864	38934	37028	153946284.857571	39
20230727 074139	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6630	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200247472992603	0.974497325012333	958	48518	36418	156132566.716642	40
20230727 081451	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3444	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200000073494075	0.998962924467382	479	46756	34552	158004389.805097	41
20230727 090123	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5204	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200173931883083	0.998905223387022	451	47166	33723	157996637.181409	42
20230727 094726	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5204	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200173931883083	0.998905223387022	451	47166	33723	157996637.181409	43
20230727 103319	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5204	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200173931883083	0.998905223387022	451	47166	33723	157996637.181409	44
20230727 110727	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3667	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0201651973036953	0.999788403926134	294	42898	34183	158390070.464768	45
20230727 115826	926	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5754	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200000192868462	0.9992303556937	421	43375	36888	156607964.017991	46
