fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230724 075244	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4731	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200040036668213	0.999934719432054	566	32914	34319	154322760.11994	33
20230724 080648	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2285	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200571217020002	0.596048226216602	187	112	32692	148549907.046477	34
20230724 082116	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2955	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200127075442913	0.605815290360093	587	37882	31626	155313184.407796	35
20230724 083553	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2955	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200127075442913	0.605815290360093	587	37882	31626	155313184.407796	36
20230724 091757	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6600	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200231947794553	0.575847482466134	569	32075	32538	153002431.784108	37
20230724 094355	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4041	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200540175336379	0.509600831657421	554	37984	30503	155215917.541229	38
20230724 102406	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7058	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200137244815396	0.439187860366142	564	40397	33259	154292265.367316	39
20230724 105345	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4559	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.020019377513376	0.530919603179697	544	37387	30080	155029085.457271	40
20230724 111642	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3394	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.0200099517730196	0.526645492217724	543	37532	30720	155690434.782609	41
20230724 115942	563	1378548	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6874	1	1	1	FALSE	1	0.1	50	0.5	TRUE	103031	0.020004099199558	0.522109387564694	532	38076	32550	154846611.694153	42
